Subject,CreditValues 
Warden/ranger,T
Water quality scientist,k
Fisheries officer,o
"Editor, commissioning",K
"Producer, radio",y
Sports development officer,x
"Education officer, community",e
Meteorologist,N
"Designer, fashion/clothing",l
"Designer, graphic",q
Brewing technologist,i
Technical brewer,T
"Solicitor, Scotland",x
"Engineer, materials",D
Airline pilot,Z
Trade union research officer,s
"Biochemist, clinical",y
"Optician, dispensing",z
Interpreter,p
Science writer,t
Clothing/textile technologist,l
Purchasing manager,T
Health promotion specialist,j
"Engineer, manufacturing systems",K
Research scientist (medical),L
Energy engineer,P
Podiatrist,t
Lawyer,b
Ambulance person,l
Information systems manager,f
Hydrographic surveyor,S
Claims inspector/assessor,D
"Producer, radio",g
Museum/gallery exhibitions officer,f
Marketing executive,u
"Teacher, English as a foreign language",s
Medical physicist,D
Set designer,N
Mental health nurse,W
Equality and diversity officer,K
Newspaper journalist,h
Fast food restaurant manager,J
Publishing rights manager,A
Amenity horticulturist,M
Technical sales engineer,k
"Engineer, manufacturing",V
Social worker,I
"Scientist, research (life sciences)",w
Art therapist,k
"Administrator, Civil Service",u
Police officer,f
Sports administrator,I
Holiday representative,L
Social researcher,E
Publishing rights manager,K
"Engineer, aeronautical",u
Cabin crew,z
Holiday representative,l
Podiatrist,X
Community development worker,E
Occupational hygienist,K
Games developer,m
Plant breeder/geneticist,P
Radiation protection practitioner,Z
Agricultural consultant,t
Prison officer,a
"Scientist, audiological",Y
Horticultural therapist,D
Medical laboratory scientific officer,H
Geophysicist/field seismologist,b
Counselling psychologist,P
"Designer, fashion/clothing",l
"Social research officer, government",R
"Solicitor, Scotland",M
"Programmer, applications",L
Claims inspector/assessor,R
Probation officer,q
Health physicist,o
"Engineer, civil (contracting)",A
Plant breeder/geneticist,N
Housing manager/officer,P
Customer service manager,y
Chemical engineer,K
Retail manager,k
Careers information officer,I
Dentist,e
Interpreter,J
Firefighter,Z
Forensic scientist,B
Film/video editor,L
Catering manager,L
"Exhibitions officer, museum/gallery",M
Production manager,C
"Psychotherapist, child",W
Geophysical data processor,W
Learning mentor,X
"Secretary, company",q
Cytogeneticist,P
Claims inspector/assessor,L
"Engineer, biomedical",H
Colour technologist,U
Dance movement psychotherapist,c
Armed forces logistics/support/administrative officer,M
Naval architect,t
Quantity surveyor,y
"Production designer, theatre/television/film",E
Microbiologist,N
Actor,O
Homeopath,S
Dentist,q
Oncologist,w
Further education lecturer,w
Arboriculturist,q
Wellsite geologist,X
Insurance account manager,S
Clinical molecular geneticist,c
Meteorologist,V
Artist,c
"Administrator, Civil Service",E
Land/geomatics surveyor,M
Chiropodist,U
Leisure centre manager,s
"Buyer, industrial",o
Diplomatic Services operational officer,g
Retail manager,H
"Doctor, general practice",u
Logistics and distribution manager,H
Advertising account planner,L
"Designer, exhibition/display",I
"Production assistant, radio",P
Information systems manager,s
Photographer,y
"Psychologist, occupational",r
"Accountant, chartered public finance",W
Lawyer,z
Network engineer,S
Charity officer,D
Risk manager,r
"Therapist, nutritional",p
Medical laboratory scientific officer,N
Air cabin crew,F
"Embryologist, clinical",r
Adult nurse,E
"Accountant, chartered certified",u
Amenity horticulturist,O
"Pilot, airline",l
Petroleum engineer,y
Fish farm manager,X
Structural engineer,o
Ergonomist,o
Claims inspector/assessor,q
Radiation protection practitioner,i
"Civil engineer, contracting",i
"Scientist, clinical (histocompatibility and immunogenetics)",E
Nature conservation officer,d
Emergency planning/management officer,X
Community education officer,m
Volunteer coordinator,F
"Radiographer, therapeutic",s
Civil Service fast streamer,r
"Programme researcher, broadcasting/film/video",h
Product/process development scientist,s
"Pilot, airline",A
Financial manager,n
Tourist information centre manager,F
Advertising copywriter,z
"Scientist, audiological",a
Biomedical engineer,d
"Administrator, education",C
"Surveyor, building control",a
Holiday representative,V
"Production assistant, television",g
"Conservation officer, nature",u
"Nurse, learning disability",W
Cabin crew,I
Financial planner,g
Web designer,l
"Exhibitions officer, museum/gallery",N
Theme park manager,j
Hydrogeologist,F
Lawyer,f
Ceramics designer,J
Health promotion specialist,K
Quality manager,s
"Education officer, environmental",p
"Buyer, retail",A
Logistics and distribution manager,w
Hospital doctor,K
Intelligence analyst,D
Garment/textile technologist,Y
"Engineer, maintenance (IT)",v
Make,M
Solicitor,Z
Education administrator,D
Teaching laboratory technician,i
Art gallery manager,u
"Buyer, industrial",A
Stage manager,s
Location manager,l
"Scientist, research (physical sciences)",x
"Restaurant manager, fast food",V
Insurance account manager,h
Metallurgist,y
Site engineer,I
Leisure centre manager,w
"Editor, magazine features",f
Early years teacher,T
Structural engineer,J
Energy engineer,x
Herbalist,Q
Gaffer,f
International aid/development worker,Y
Marine scientist,u
Graphic designer,H
Recruitment consultant,w
Insurance account manager,N
Town planner,t
Animator,x
Television/film/video producer,V
Mental health nurse,R
Health and safety adviser,I
"Loss adjuster, chartered",O
"Engineer, site",S
English as a foreign language teacher,v
Architectural technologist,c
Information officer,h
Interior and spatial designer,H
Hotel manager,U
Health and safety adviser,N
Aeronautical engineer,e
Music tutor,g
Editorial assistant,m
Operations geologist,X
Museum/gallery curator,S
Fast food restaurant manager,j
Intelligence analyst,G
Higher education lecturer,e
Immigration officer,l
Chartered public finance accountant,u
"Loss adjuster, chartered",H
Land,u
Company secretary,I
Police officer,t
Sub,i
Charity fundraiser,v
"Psychologist, occupational",e
Exhibition designer,E
Accounting technician,h
Banker,a
"Engineer, materials",w
Seismic interpreter,m
Mechanical engineer,I
Medical secretary,d
Health promotion specialist,L
Tourism officer,T
Orthoptist,X
Volunteer coordinator,W
Armed forces technical officer,I
Art therapist,f
Occupational therapist,M
Health visitor,b
"Therapist, nutritional",F
Art therapist,Y
Multimedia specialist,K
Stage manager,E
Scientific laboratory technician,X
Accounting technician,a
Toxicologist,q
Paediatric nurse,y
"Administrator, arts",s
Corporate investment banker,g
Financial risk analyst,m
Prison officer,q
"Designer, ceramics/pottery",H
Records manager,v
"Nurse, adult",y
Records manager,k
"Producer, television/film/video",P
Mechanical engineer,N
"Engineer, biomedical",H
"Programmer, applications",I
Petroleum engineer,m
Merchant navy officer,H
"Therapist, speech and language",d
Health and safety inspector,x
Counselling psychologist,L
Ship broker,m
Public librarian,k
"Scientist, research (life sciences)",k
Magazine journalist,N
Magazine features editor,e
Theme park manager,K
Freight forwarder,I
Applications developer,x
Barrister,v
Logistics and distribution manager,S
Lobbyist,z
Network engineer,C
Geoscientist,a
Industrial buyer,r
"Engineer, biomedical",K
"Radiographer, diagnostic",o
Manufacturing systems engineer,m
Horticultural therapist,m
Set designer,E
Technical brewer,E
Curator,y
Ambulance person,e
Advertising copywriter,C
"Engineer, electrical",H
Forensic scientist,T
Legal executive,I
"Engineer, civil (contracting)",b
Call centre manager,E
Television production assistant,J
Medical physicist,E
"Psychotherapist, child",N
Health visitor,c
"Therapist, speech and language",A
"Engineer, control and instrumentation",Q
"Therapist, drama",M
Administrator,u
Barrister's clerk,m
Insurance claims handler,b
Soil scientist,N
Osteopath,s
Insurance risk surveyor,P
"Buyer, retail",I
Chartered accountant,i
"Conservator, furniture",u
"Psychotherapist, dance movement",A
Network engineer,L
Biomedical engineer,u
Information officer,J
TEFL teacher,i
Forensic scientist,A
Licensed conveyancer,h
Interpreter,x
Best boy,Q
Private music teacher,X
"Merchandiser, retail",c
Academic librarian,b
Biomedical scientist,I
Consulting civil engineer,n
Horticultural consultant,W
Media planner,O
"Engineer, manufacturing systems",u
Computer games developer,a
Speech and language therapist,g
"Engineer, biomedical",p
Product/process development scientist,P
Video editor,g
Careers information officer,V
"Engineer, chemical",U
Exhibition designer,V
Translator,x
Interpreter,J
Customer service manager,k
"Merchandiser, retail",n
Furniture designer,u
Equality and diversity officer,f
Special effects artist,b
Brewing technologist,U
"Engineer, maintenance (IT)",V
Ceramics designer,e
Field seismologist,K
Therapeutic radiographer,o
Sports development officer,r
Advice worker,w
Administrator,q
Museum/gallery curator,D
Microbiologist,T
Chartered accountant,u
"Civil engineer, consulting",J
Theatre stage manager,V
Financial controller,j
Visual merchandiser,H
Sales executive,D
Surgeon,M
"Nurse, adult",n
"Development worker, international aid",m
Educational psychologist,D
Environmental consultant,d
Video editor,R
Aid worker,k
Artist,g
"Geneticist, molecular",F
"Pilot, airline",U
"Journalist, magazine",Z
Tour manager,m
Information systems manager,p
"Scientist, research (life sciences)",E
"Scientist, research (maths)",v
Wellsite geologist,q
Commissioning editor,Z
Radio broadcast assistant,W
Retail banker,T
Commercial art gallery manager,I
"Librarian, public",F
Museum/gallery conservator,Y
"Accountant, chartered certified",V
Farm manager,H
"Radiographer, therapeutic",v
Sports administrator,C
"Engineer, communications",T
Arboriculturist,R
Materials engineer,V
Risk analyst,o
Diagnostic radiographer,j
Television/film/video producer,p
Forest/woodland manager,F
Energy manager,H
Adult nurse,Q
Fitness centre manager,V
"Teacher, music",H
Dispensing optician,v
"Pilot, airline",J
