s_id,Project,ProjectDomain,EventualDomain 
5057,Advertising copywriter,Software engineer,"Designer, ceramics/pottery"
1390,"Engineer, civil (contracting)",Gaffer,Computer games developer
9526,Drilling engineer,"Administrator, charities/voluntary organisations",Operational investment banker
6749,"Surveyor, minerals",Interpreter,Computer games developer
9689,Multimedia specialist,"Pharmacist, community","Programmer, systems"
9017,Primary school teacher,Actor,Soil scientist
6585,Automotive engineer,"Clinical scientist, histocompatibility and immunogenetics",Commercial/residential surveyor
7855,"Designer, blown glass/stained glass","Physicist, medical",Fitness centre manager
2614,Petroleum engineer,Dance movement psychotherapist,Manufacturing systems engineer
948,Architect,"Scientist, biomedical","Conservation officer, historic buildings"
1657,Lobbyist,Call centre manager,"Scientist, water quality"
4718,"Designer, ceramics/pottery",Speech and language therapist,Control and instrumentation engineer
4428,Pharmacologist,"Education officer, community",Statistician
7843,"Programme researcher, broadcasting/film/video",Sports administrator,"Civil engineer, contracting"
5519,Land,"Optician, dispensing",Osteopath
6785,Learning disability nurse,Travel agency manager,Hospital doctor
2045,"Teacher, early years/pre",Field trials officer,Agricultural consultant
7649,Sport and exercise psychologist,Industrial buyer,Broadcast journalist
606,Magazine journalist,"Designer, interior/spatial","Librarian, academic"
632,Video editor,"Surveyor, land/geomatics",Air broker
6370,"Therapist, art",Ship broker,Energy manager
3687,Quarry manager,"Engineer, manufacturing systems",Market researcher
2857,"Psychologist, counselling","Development worker, international aid","Research officer, political party"
8996,Food technologist,"Programmer, multimedia","Therapist, speech and language"
2105,Government social research officer,Sports development officer,Sports administrator
6122,Orthoptist,Civil Service administrator,Artist
4959,Geographical information systems officer,"Scientist, product/process development","Programmer, multimedia"
3100,"Development worker, international aid",Leisure centre manager,"Engineer, land"
6223,"Programmer, multimedia",Analytical chemist,Actuary
7538,Systems developer,Barrister,Bonds trader
9397,Bookseller,Newspaper journalist,"Lecturer, higher education"
9131,Proofreader,Health service manager,"Restaurant manager, fast food"
3675,Writer,"Scientist, water quality",Medical secretary
9117,Estate agent,Town planner,Information officer
1891,Visual merchandiser,"Accountant, chartered public finance",Conference centre manager
775,Herbalist,Human resources officer,Tourism officer
6841,Office manager,Ecologist,Press photographer
4113,"Engineer, control and instrumentation",Recruitment consultant,Charity fundraiser
5469,Tourist information centre manager,"Therapist, nutritional","Surveyor, building control"
2657,Forest/woodland manager,Psychotherapist,"Surveyor, planning and development"
7482,Volunteer coordinator,Technical brewer,Emergency planning/management officer
8026,Hydrogeologist,Building control surveyor,Audiological scientist
8692,Sports administrator,Editorial assistant,Arts development officer
165,"Producer, television/film/video",Outdoor activities/education manager,Corporate investment banker
6415,Structural engineer,"Chemist, analytical",Herbalist
3055,Water engineer,"Therapist, occupational",Building services engineer
6512,Graphic designer,Ophthalmologist,Control and instrumentation engineer
693,Occupational psychologist,"Psychologist, forensic","Surveyor, land/geomatics"
4643,Probation officer,"Therapist, music",Call centre manager
3526,Holiday representative,"Editor, magazine features",Lobbyist
4739,Forensic scientist,Ranger/warden,"Engineer, petroleum"
3768,Cabin crew,Museum/gallery curator,Pharmacologist
3071,Artist,Optometrist,Human resources officer
4552,Civil Service fast streamer,Arts administrator,"Teacher, primary school"
9816,Engineering geologist,"Conservation officer, nature",Art gallery manager
3916,"Nurse, adult",Product/process development scientist,Seismic interpreter
3986,"Psychologist, prison and probation services","Engineer, building services",Ergonomist
1444,Translator,Records manager,Homeopath
742,"Copywriter, advertising",Recruitment consultant,Chartered loss adjuster
6588,"Nurse, mental health","Administrator, sports",Advertising art director
7086,Psychiatrist,Operational investment banker,Charity officer
9050,Data processing manager,Musician,Chartered legal executive (England and Wales)
7680,"Conservation officer, nature","Physicist, medical",Patent examiner
4761,"Pharmacist, hospital",Government social research officer,Arboriculturist
2202,"Administrator, arts","Psychologist, educational",Air broker
5717,Pensions consultant,Trading standards officer,"Psychologist, clinical"
9604,Information officer,Radio producer,Press sub
5029,Diplomatic Services operational officer,"Pharmacist, hospital","Engineer, mining"
7998,Contracting civil engineer,"Journalist, broadcasting",Physiological scientist
6905,Market researcher,"Biochemist, clinical",Product/process development scientist
7131,Research scientist (maths),"Civil engineer, consulting","Scientist, research (life sciences)"
4868,Editorial assistant,Mental health nurse,Computer games developer
6189,"Horticulturist, amenity",Trade mark attorney,Charity officer
5088,Diagnostic radiographer,Automotive engineer,Printmaker
7209,Soil scientist,Forensic scientist,Charity fundraiser
5681,Health and safety adviser,Local government officer,Retail merchandiser
5430,Editorial assistant,"Nurse, learning disability",Consulting civil engineer
3373,"Exhibitions officer, museum/gallery","Nurse, children's","Education officer, museum"
876,Mining engineer,"Engineer, aeronautical",Museum/gallery curator
313,Translator,Bookseller,Geophysicist/field seismologist
7823,"Copywriter, advertising","Engineer, site","Administrator, arts"
4560,Housing manager/officer,Diplomatic Services operational officer,"Scientist, audiological"
9305,Water engineer,Event organiser,Catering manager
665,"Radiographer, diagnostic",Higher education careers adviser,Systems developer
1920,Museum/gallery curator,Marine scientist,Clinical psychologist
7184,Economist,Academic librarian,Food technologist
471,Emergency planning/management officer,Sports coach,Estate manager/land agent
6657,"Nurse, children's",Higher education lecturer,Emergency planning/management officer
9398,"Psychologist, forensic",Multimedia specialist,"Librarian, academic"
2914,Air cabin crew,Research scientist (life sciences),Immunologist
4425,Proofreader,Research scientist (medical),"Administrator, sports"
3223,Charity officer,"Production assistant, radio",Administrator
4723,Farm manager,Visual merchandiser,Holiday representative
8934,Logistics and distribution manager,Fine artist,"Teacher, primary school"
7155,"Lecturer, higher education",Automotive engineer,Clinical cytogeneticist
7758,Tour manager,Careers information officer,"Geneticist, molecular"
7250,Social researcher,Museum/gallery exhibitions officer,Forensic psychologist
5447,Medical illustrator,"Engineer, site",Theme park manager
491,Cytogeneticist,Clinical cytogeneticist,"Engineer, drilling"
9692,Press sub,"Engineer, control and instrumentation","Designer, textile"
4744,Company secretary,Homeopath,"Engineer, petroleum"
6235,Metallurgist,Field trials officer,Sales executive
9265,Media buyer,Research scientist (medical),Publishing rights manager
5855,"Education officer, museum",Equities trader,Commercial horticulturist
1831,Games developer,Warden/ranger,Advertising account planner
832,"Administrator, sports",Pensions consultant,"Administrator, charities/voluntary organisations"
3595,Corporate investment banker,Building control surveyor,"Surveyor, hydrographic"
7396,Patent attorney,Telecommunications researcher,Environmental manager
280,Mining engineer,Facilities manager,"Scientist, biomedical"
4387,Telecommunications researcher,"Teacher, primary school",Publishing copy
6638,"Engineer, water","Education officer, environmental","Embryologist, clinical"
2375,Government social research officer,Tour manager,Glass blower/designer
9008,"Loss adjuster, chartered",Water quality scientist,Conference centre manager
6985,"Restaurant manager, fast food",Dance movement psychotherapist,Senior tax professional/tax inspector
9102,"Pilot, airline",Clinical research associate,Games developer
3424,Systems developer,Hospital doctor,Therapeutic radiographer
6566,Marine scientist,Newspaper journalist,Records manager
7752,"Journalist, newspaper",Special educational needs teacher,"Editor, magazine features"
5848,"Secretary, company",Software engineer,"Editor, commissioning"
4299,Geochemist,"Editor, commissioning","Doctor, general practice"
834,Applications developer,Herbalist,"Psychotherapist, child"
